age,animation_time_between_frames,block_number,condition,date,difficulty_category,expected_response,focal_image_id,lure,lure_kind,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_id,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,n_back_type,order_set,output_location,participant,participant_num,position_in_block,practice_run,prime_folder,prime_image_display_time,prime_image_id,prime_image_path,prime_task,reaction_time,user_correct,user_response,younger_than_or_at_critical_age
7,1,0,3,10/11/2019 11:18:19 AM,old,0,4,0,,4,0,1,10,,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,0,1,images/prime/task/B,1.5,kangaroo_8.png,images/prime/task/B\kangaroo\kangaroo_8.png,1,0.984228000001,0,1,0
7,1,0,3,10/11/2019 11:18:19 AM,old,0,2,0,,4,0,1,10,4.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,1,1,images/prime/task/B,1.5,pumpkin_8.png,images/prime/task/B\pumpkin\pumpkin_8.png,1,,1,0,0
7,1,0,3,10/11/2019 11:18:19 AM,old,0,7,0,,4,0,1,10,2.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,2,1,images/prime/task/B,1.5,mountain_8.png,images/prime/task/B\mountain\mountain_8.png,1,,1,0,0
7,1,0,3,10/11/2019 11:18:19 AM,old,1,7,0,,4,0,1,10,7.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,3,1,images/prime/task/B,1.5,sandwich_8.png,images/prime/task/B\sandwich\sandwich_8.png,1,,0,0,0
7,1,0,3,10/11/2019 11:18:19 AM,old,0,4,0,,4,0,1,10,7.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,4,1,images/prime/task/B,1.5,chair_8.png,images/prime/task/B\chair\chair_8.png,1,0.794959999999,0,1,0
7,1,0,3,10/11/2019 11:18:19 AM,old,0,3,0,,4,0,1,10,4.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,5,1,images/prime/task/B,1.5,umbrella_8.png,images/prime/task/B\umbrella\umbrella_8.png,1,0.375831200014,0,1,0
7,1,0,3,10/11/2019 11:18:19 AM,old,0,6,0,,4,0,1,10,3.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,6,1,images/prime/task/B,1.5,comb_8.png,images/prime/task/B\comb\comb_8.png,1,0.332310600003,0,1,0
7,1,0,3,10/11/2019 11:18:19 AM,old,0,8,0,,4,0,1,10,6.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,7,1,images/prime/task/B,1.5,carrot_8.png,images/prime/task/B\carrot\carrot_8.png,1,0.371904500003,0,1,0
7,1,0,3,10/11/2019 11:18:19 AM,old,1,8,0,,4,0,1,10,8.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,8,1,images/prime/task/B,1.5,key_8.png,images/prime/task/B\key\key_8.png,1,0.308252799994,1,1,0
7,1,0,3,10/11/2019 11:18:19 AM,old,0,7,0,,4,0,1,10,8.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,9,1,images/prime/task/B,1.5,candle_8.png,images/prime/task/B\candle\candle_8.png,1,,1,0,0
7,1,0,3,10/11/2019 11:18:19 AM,old,0,6,0,,4,0,1,10,7.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,10,1,images/prime/task/B,1.5,camel_8.png,images/prime/task/B\camel\camel_8.png,1,0.264518299999,0,1,0
7,1,0,3,10/11/2019 11:18:19 AM,old,1,6,0,,4,0,1,10,6.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,11,1,images/prime/task/B,1.5,bowl_8.png,images/prime/task/B\bowl\bowl_8.png,1,0.0531572000036,1,1,0
7,1,0,3,10/11/2019 11:18:19 AM,old,0,5,0,,4,0,1,10,6.0,1,0.5,3,3,5,2,10,B,1,1,6,1,1_1.csv,data,1027,1027,12,1,images/prime/task/B,1.5,elephant_8.png,images/prime/task/B\elephant\elephant_8.png,1,0.110248199999,0,1,0
